song,artist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,uri,track_href,analysis_url,duration_ms,time_signature,hot
Norwegian Wood (This Bird Has Flown) - Remastered 2009,The Beatles,0.425,0.369,4.0,-11.876,1.0,0.0379,0.183,0.00126,0.112,0.65,176.625,audio_features,spotify:track:1H7gMYGykdtwZOV6s1N0by,https://api.spotify.com/v1/tracks/1H7gMYGykdtwZOV6s1N0by,https://api.spotify.com/v1/audio-analysis/1H7gMYGykdtwZOV6s1N0by,124693.0,3.0,No
Help! - Remastered 2009,The Beatles,0.534,0.725,6.0,-7.576,0.0,0.0332,0.188,0.0,0.0994,0.763,95.003,audio_features,spotify:track:7DD7eSuYSC5xk2ArU62esN,https://api.spotify.com/v1/tracks/7DD7eSuYSC5xk2ArU62esN,https://api.spotify.com/v1/audio-analysis/7DD7eSuYSC5xk2ArU62esN,139560.0,4.0,No
Unchained Melody,The Righteous Brothers,0.339,0.208,0.0,-16.725,1.0,0.0308,0.396,0.000519,0.18,0.288,98.54,audio_features,spotify:track:2qhASBzpbFhPRtrnZ5lLnz,https://api.spotify.com/v1/tracks/2qhASBzpbFhPRtrnZ5lLnz,https://api.spotify.com/v1/audio-analysis/2qhASBzpbFhPRtrnZ5lLnz,218013.0,3.0,No
Michelle - Remastered 2009,The Beatles,0.578,0.29,5.0,-12.501,0.0,0.0341,0.652,0.0,0.105,0.666,117.403,audio_features,spotify:track:5By7Pzgl6TMuVJG168VWzS,https://api.spotify.com/v1/tracks/5By7Pzgl6TMuVJG168VWzS,https://api.spotify.com/v1/audio-analysis/5By7Pzgl6TMuVJG168VWzS,162373.0,4.0,No
Feeling Good,Nina Simone,0.399,0.326,7.0,-9.239,0.0,0.0386,0.864,0.0,0.191,0.546,79.206,audio_features,spotify:track:6Rqn2GFlmvmV4w9Ala0I1e,https://api.spotify.com/v1/tracks/6Rqn2GFlmvmV4w9Ala0I1e,https://api.spotify.com/v1/audio-analysis/6Rqn2GFlmvmV4w9Ala0I1e,174000.0,4.0,No
My Generation - Stereo Version,The Who,0.412,0.782,2.0,-9.186,0.0,0.058,0.308,0.00822,0.0775,0.705,96.732,audio_features,spotify:track:4u9f8hqstB7iITDJNzKhQx,https://api.spotify.com/v1/tracks/4u9f8hqstB7iITDJNzKhQx,https://api.spotify.com/v1/audio-analysis/4u9f8hqstB7iITDJNzKhQx,198707.0,4.0,No
In My Life - Remastered 2009,The Beatles,0.688,0.435,9.0,-11.359,1.0,0.0323,0.449,0.0,0.113,0.435,103.239,audio_features,spotify:track:3KfbEIOC7YIv90FIfNSZpo,https://api.spotify.com/v1/tracks/3KfbEIOC7YIv90FIfNSZpo,https://api.spotify.com/v1/audio-analysis/3KfbEIOC7YIv90FIfNSZpo,146333.0,4.0,No
As Tears Go By - Mono Version,The Rolling Stones,0.331,0.277,7.0,-11.035,1.0,0.0295,0.723,0.00263,0.181,0.366,112.78,audio_features,spotify:track:1LD75COdR1n8jTIjommyS2,https://api.spotify.com/v1/tracks/1LD75COdR1n8jTIjommyS2,https://api.spotify.com/v1/audio-analysis/1LD75COdR1n8jTIjommyS2,165213.0,4.0,No
It Was A Very Good Year,Frank Sinatra,0.215,0.142,7.0,-15.395,0.0,0.0325,0.862,0.0,0.113,0.126,79.608,audio_features,spotify:track:2ID3rNM3hFBjqrLcV0Wr0y,https://api.spotify.com/v1/tracks/2ID3rNM3hFBjqrLcV0Wr0y,https://api.spotify.com/v1/audio-analysis/2ID3rNM3hFBjqrLcV0Wr0y,267240.0,4.0,No
Time Is On My Side - Mono Version,The Rolling Stones,0.508,0.645,5.0,-9.012,1.0,0.0395,0.291,3.25e-06,0.107,0.412,99.302,audio_features,spotify:track:2jaN6NgXflZTj2z9CWcqaP,https://api.spotify.com/v1/tracks/2jaN6NgXflZTj2z9CWcqaP,https://api.spotify.com/v1/audio-analysis/2jaN6NgXflZTj2z9CWcqaP,179133.0,4.0,No
